inventor_id,name,country
fl:sy_ln:galineau-1,Sylvain P. Galineau,Unknown
fl:sa_ln:morinaga-3,Satoshi Morinaga,Unknown
fl:ma_ln:oshiro-11,Marc Oshiro,Unknown
fl:ji_ln:choi-166,Jinsoo CHOI,Unknown
fl:ti_ln:hartjes-1,Timothy P. Hartjes,Unknown
fl:da_ln:meyer-50,Daniel Meyer,Unknown
fl:ja_ln:andersson-5,Jan Andersson,Unknown
fl:de_ln:stephens-2,Dennis L. Stephens,Unknown
fl:me_ln:siebert-1,Melissa Siebert,Unknown
fl:ta_ln:taura-2,Tadayuki Taura,Unknown
fl:he_ln:gaub-2,Hermann Gaub,Unknown
fl:ge_ln:provost-1,George A. Provost,Unknown
fl:da_ln:motov-1,David L. Motov,Unknown
fl:ho_ln:jaeschke-1,Horst Jaeschke,Unknown
fl:bo_ln:cichon-1,Bob A. Cichon,Unknown
fl:st_ln:yu-18,Stephanie Yu,Unknown
fl:su_ln:jung-212,Sunghoon Jung,Unknown
fl:de_ln:hsu-7,Derek Hsen Dai Hsu,Unknown
fl:ro_ln:crook-2,Ronald J. Crook,Unknown
fl:ne_ln:joshi-7,Neeta Joshi,Unknown
fl:ku_ln:tzeng-1,Kuo-Hwa Tzeng,Unknown
fl:sa_ln:khan-53,Sana Fahim Khan,Unknown
fl:ar_ln:henry-2,Arnold W. Henry,Unknown
fl:ta_ln:uda-13,Taizo Uda,Unknown
000c0a89h3umx2083c1fhf6sc,Arthur R. Stennett,Unknown
fl:lu_ln:fanucci-1,Luca Fanucci,Unknown
fl:jo_ln:ferrerbeltran-2,Jose M. Ferrer Beltran,Unknown
fl:an_ln:sundstrom-1,Andrew Sundstrom,Unknown
fl:sa_ln:ganu-2,Sachin Ganu,Unknown
fl:ri_ln:schatzberger-1,Richard Schatzberger,Unknown
fl:ha_ln:bodin-1,Hans Bodin,Unknown
fl:sh_ln:o'malley-2,Shawn Michael O'Malley,Unknown
fl:ki_ln:cho-59,Ki Hyun Cho,Unknown
fl:ke_ln:shull-2,Kenneth D. Shull,Unknown
fl:lu_ln:lopezmoreno-1,Luis Lopez Moreno,Unknown
fl:ma_ln:liphardt-2,Martin M. Liphardt,Unknown
fl:yo_ln:yamada-56,Yoshiyuki Yamada,Unknown
